<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210126,210000,162.8700000
MOEX,60,20210126,220000,162.7800000
MOEX,60,20210126,230000,162.7600000
MOEX,60,20210127,000000,162.8900000
MOEX,60,20210127,110000,162.4100000
MOEX,60,20210127,120000,162.1700000
MOEX,60,20210127,130000,161.3000000
MOEX,60,20210127,140000,161.1700000
MOEX,60,20210127,150000,159.9400000
MOEX,60,20210127,160000,160.2400000
MOEX,60,20210127,170000,160.2500000
MOEX,60,20210127,180000,160.0800000
MOEX,60,20210127,190000,161.6400000
MOEX,60,20210127,200000,160.9500000
MOEX,60,20210127,210000,160.6700000
MOEX,60,20210127,220000,160.8200000
MOEX,60,20210127,230000,160.6600000
MOEX,60,20210128,000000,160.5100000
MOEX,60,20210128,110000,159.9700000
MOEX,60,20210128,120000,161.6400000
MOEX,60,20210128,130000,161.0100000
MOEX,60,20210128,140000,160.3900000
MOEX,60,20210128,150000,160.5600000
MOEX,60,20210128,160000,160.1600000
MOEX,60,20210128,170000,161.2600000
MOEX,60,20210128,180000,160.8100000
MOEX,60,20210128,190000,160.6900000
MOEX,60,20210128,200000,160.6900000
MOEX,60,20210128,210000,160.6800000
MOEX,60,20210128,220000,160.8400000
MOEX,60,20210128,230000,160.7900000
MOEX,60,20210129,000000,160.5100000
MOEX,60,20210129,110000,158.5600000
MOEX,60,20210129,120000,158.6500000
MOEX,60,20210129,130000,158.8000000
MOEX,60,20210129,140000,158.6700000
MOEX,60,20210129,150000,158.6600000
MOEX,60,20210129,160000,158.0600000
MOEX,60,20210129,170000,157.6000000
MOEX,60,20210129,180000,157.1300000
MOEX,60,20210129,190000,157.1900000
MOEX,60,20210129,200000,157.0400000
MOEX,60,20210129,210000,157.1000000
MOEX,60,20210129,220000,157.1500000
MOEX,60,20210129,230000,157.1300000
MOEX,60,20210130,000000,157.6200000
MOEX,60,20210201,110000,155.6700000
MOEX,60,20210201,120000,156.4600000
MOEX,60,20210201,130000,156.5100000
MOEX,60,20210201,140000,156.4200000
MOEX,60,20210201,150000,156.9000000
MOEX,60,20210201,160000,156.8700000
MOEX,60,20210201,170000,156.9100000
MOEX,60,20210201,180000,156.5000000
MOEX,60,20210201,190000,155.8400000
MOEX,60,20210201,200000,156.1800000
MOEX,60,20210201,210000,156.2700000
MOEX,60,20210201,220000,156.6300000
MOEX,60,20210201,230000,157.0200000
MOEX,60,20210202,000000,157.2800000
MOEX,60,20210202,110000,158.5900000
MOEX,60,20210202,120000,158.6600000
MOEX,60,20210202,130000,158.8100000
MOEX,60,20210202,140000,158.9200000
MOEX,60,20210202,150000,159.3000000
MOEX,60,20210202,160000,159.3900000
MOEX,60,20210202,170000,159.1700000
MOEX,60,20210202,180000,159.1200000
MOEX,60,20210202,190000,160.7400000
MOEX,60,20210202,200000,159.7000000
MOEX,60,20210202,210000,159.3500000
MOEX,60,20210202,220000,158.8400000
MOEX,60,20210202,230000,158.6100000
MOEX,60,20210203,000000,158.9900000
MOEX,60,20210203,110000,159.6600000
MOEX,60,20210203,120000,159.1800000
MOEX,60,20210203,130000,158.9100000
MOEX,60,20210203,140000,158.6000000
MOEX,60,20210203,150000,157.7500000
MOEX,60,20210203,160000,158.0600000
MOEX,60,20210203,170000,158.4500000
MOEX,60,20210203,180000,158.3900000
MOEX,60,20210203,190000,158.5200000
MOEX,60,20210203,200000,158.3800000
MOEX,60,20210203,210000,158.3700000
MOEX,60,20210203,220000,158.5700000
MOEX,60,20210203,230000,158.8200000
MOEX,60,20210204,000000,158.8900000
MOEX,60,20210204,110000,158.5000000
MOEX,60,20210204,120000,158.5500000
MOEX,60,20210204,130000,158.9300000
MOEX,60,20210204,140000,158.9200000
MOEX,60,20210204,150000,159.0600000
MOEX,60,20210204,160000,158.4400000
MOEX,60,20210204,170000,158.3800000
