<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGS,60,20210128,210000,34.2300000
SNGS,60,20210128,220000,34.3000000
SNGS,60,20210128,230000,34.2400000
SNGS,60,20210129,000000,34.2700000
SNGS,60,20210129,110000,34.1200000
SNGS,60,20210129,120000,33.9000000
SNGS,60,20210129,130000,33.5850000
SNGS,60,20210129,140000,33.6700000
SNGS,60,20210129,150000,33.7400000
SNGS,60,20210129,160000,33.6350000
SNGS,60,20210129,170000,33.6200000
SNGS,60,20210129,180000,33.5350000
SNGS,60,20210129,190000,33.6050000
SNGS,60,20210129,200000,33.4800000
SNGS,60,20210129,210000,33.4600000
SNGS,60,20210129,220000,33.4800000
SNGS,60,20210129,230000,33.5400000
SNGS,60,20210130,000000,33.4700000
SNGS,60,20210201,110000,33.5000000
SNGS,60,20210201,120000,33.5750000
SNGS,60,20210201,130000,33.5000000
SNGS,60,20210201,140000,33.4150000
SNGS,60,20210201,150000,33.6150000
SNGS,60,20210201,160000,33.6600000
SNGS,60,20210201,170000,33.8500000
SNGS,60,20210201,180000,33.8450000
SNGS,60,20210201,190000,33.8300000
SNGS,60,20210201,200000,33.9050000
SNGS,60,20210201,210000,33.8950000
SNGS,60,20210201,220000,33.9600000
SNGS,60,20210201,230000,33.9800000
SNGS,60,20210202,000000,33.9900000
SNGS,60,20210202,110000,34.1050000
SNGS,60,20210202,120000,34.1700000
SNGS,60,20210202,130000,34.4250000
SNGS,60,20210202,140000,34.4700000
SNGS,60,20210202,150000,34.2550000
SNGS,60,20210202,160000,34.3900000
SNGS,60,20210202,170000,34.4000000
SNGS,60,20210202,180000,34.4800000
SNGS,60,20210202,190000,34.4500000
SNGS,60,20210202,200000,34.3850000
SNGS,60,20210202,210000,34.4100000
SNGS,60,20210202,220000,34.3650000
SNGS,60,20210202,230000,34.0850000
SNGS,60,20210203,000000,34.1150000
SNGS,60,20210203,110000,34.4450000
SNGS,60,20210203,120000,34.3050000
SNGS,60,20210203,130000,34.2350000
SNGS,60,20210203,140000,34.0800000
SNGS,60,20210203,150000,34.0950000
SNGS,60,20210203,160000,34.1550000
SNGS,60,20210203,170000,34.2000000
SNGS,60,20210203,180000,33.9950000
SNGS,60,20210203,190000,33.9700000
SNGS,60,20210203,200000,34.0000000
SNGS,60,20210203,210000,34.0450000
SNGS,60,20210203,220000,34.0800000
SNGS,60,20210203,230000,34.1400000
SNGS,60,20210204,000000,34.1800000
SNGS,60,20210204,110000,34.1200000
SNGS,60,20210204,120000,34.2150000
SNGS,60,20210204,130000,34.1500000
SNGS,60,20210204,140000,34.0800000
SNGS,60,20210204,150000,34.0350000
SNGS,60,20210204,160000,33.9750000
SNGS,60,20210204,170000,34.0350000
SNGS,60,20210204,180000,33.9300000
SNGS,60,20210204,190000,33.6550000
SNGS,60,20210204,200000,33.7750000
SNGS,60,20210204,210000,33.7750000
SNGS,60,20210204,220000,33.8300000
SNGS,60,20210204,230000,33.8200000
SNGS,60,20210205,000000,33.9050000
SNGS,60,20210205,110000,33.8150000
SNGS,60,20210205,120000,33.8700000
SNGS,60,20210205,130000,33.9700000
SNGS,60,20210205,140000,34.0200000
SNGS,60,20210205,150000,33.9950000
SNGS,60,20210205,160000,33.8900000
SNGS,60,20210205,170000,33.8850000
SNGS,60,20210205,180000,33.8500000
SNGS,60,20210205,190000,33.9050000
SNGS,60,20210205,200000,33.9050000
