<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SPBE:TQBR,60,20211203,190000,968.2000000
MOEX.SPBE:TQBR,60,20211203,200000,972.3000000
MOEX.SPBE:TQBR,60,20211203,210000,970.8000000
MOEX.SPBE:TQBR,60,20211203,220000,969.6000000
MOEX.SPBE:TQBR,60,20211203,230000,970.8000000
MOEX.SPBE:TQBR,60,20211204,000000,975.0000000
MOEX.SPBE:TQBR,60,20211206,110000,965.2000000
MOEX.SPBE:TQBR,60,20211206,120000,965.9000000
MOEX.SPBE:TQBR,60,20211206,130000,955.0000000
MOEX.SPBE:TQBR,60,20211206,140000,953.5000000
MOEX.SPBE:TQBR,60,20211206,150000,951.0000000
MOEX.SPBE:TQBR,60,20211206,160000,950.5000000
MOEX.SPBE:TQBR,60,20211206,170000,948.6000000
MOEX.SPBE:TQBR,60,20211206,180000,944.9000000
MOEX.SPBE:TQBR,60,20211206,190000,944.0000000
MOEX.SPBE:TQBR,60,20211206,200000,950.0000000
MOEX.SPBE:TQBR,60,20211206,210000,949.9000000
MOEX.SPBE:TQBR,60,20211206,220000,951.9000000
MOEX.SPBE:TQBR,60,20211206,230000,962.0000000
MOEX.SPBE:TQBR,60,20211207,000000,973.1000000
MOEX.SPBE:TQBR,60,20211207,110000,968.9000000
MOEX.SPBE:TQBR,60,20211207,120000,969.3000000
MOEX.SPBE:TQBR,60,20211207,130000,972.5000000
MOEX.SPBE:TQBR,60,20211207,140000,981.7000000
MOEX.SPBE:TQBR,60,20211207,150000,987.9000000
MOEX.SPBE:TQBR,60,20211207,160000,992.9000000
MOEX.SPBE:TQBR,60,20211207,170000,1002.8000000
MOEX.SPBE:TQBR,60,20211207,180000,1001.2000000
MOEX.SPBE:TQBR,60,20211207,190000,1000.0000000
MOEX.SPBE:TQBR,60,20211207,200000,998.5000000
MOEX.SPBE:TQBR,60,20211207,210000,1000.0000000
MOEX.SPBE:TQBR,60,20211207,220000,998.9000000
MOEX.SPBE:TQBR,60,20211207,230000,996.0000000
MOEX.SPBE:TQBR,60,20211208,000000,1000.0000000
MOEX.SPBE:TQBR,60,20211208,110000,1000.0000000
MOEX.SPBE:TQBR,60,20211208,120000,1005.2000000
MOEX.SPBE:TQBR,60,20211208,130000,1001.0000000
MOEX.SPBE:TQBR,60,20211208,140000,1000.2000000
MOEX.SPBE:TQBR,60,20211208,150000,1012.0000000
MOEX.SPBE:TQBR,60,20211208,160000,1013.0000000
MOEX.SPBE:TQBR,60,20211208,170000,1009.8000000
MOEX.SPBE:TQBR,60,20211208,180000,1006.0000000
MOEX.SPBE:TQBR,60,20211208,190000,1005.0000000
MOEX.SPBE:TQBR,60,20211208,200000,1011.8000000
MOEX.SPBE:TQBR,60,20211208,210000,1013.0000000
MOEX.SPBE:TQBR,60,20211208,220000,1015.6000000
MOEX.SPBE:TQBR,60,20211208,230000,1019.0000000
MOEX.SPBE:TQBR,60,20211209,000000,1024.8000000
MOEX.SPBE:TQBR,60,20211209,110000,1022.8000000
MOEX.SPBE:TQBR,60,20211209,120000,1013.8000000
MOEX.SPBE:TQBR,60,20211209,130000,1010.8000000
MOEX.SPBE:TQBR,60,20211209,140000,1011.1000000
MOEX.SPBE:TQBR,60,20211209,150000,1008.6000000
MOEX.SPBE:TQBR,60,20211209,160000,1007.0000000
MOEX.SPBE:TQBR,60,20211209,170000,1009.1000000
MOEX.SPBE:TQBR,60,20211209,180000,1011.4000000
MOEX.SPBE:TQBR,60,20211209,190000,1001.6000000
MOEX.SPBE:TQBR,60,20211209,200000,1009.3000000
MOEX.SPBE:TQBR,60,20211209,210000,1013.4000000
MOEX.SPBE:TQBR,60,20211209,220000,1013.0000000
MOEX.SPBE:TQBR,60,20211209,230000,1014.7000000
MOEX.SPBE:TQBR,60,20211210,000000,1011.9000000
MOEX.SPBE:TQBR,60,20211210,110000,1011.9000000
MOEX.SPBE:TQBR,60,20211210,120000,1008.5000000
MOEX.SPBE:TQBR,60,20211210,130000,1012.8000000
MOEX.SPBE:TQBR,60,20211210,140000,1015.0000000
MOEX.SPBE:TQBR,60,20211210,150000,1014.7000000
MOEX.SPBE:TQBR,60,20211210,160000,1015.0000000
MOEX.SPBE:TQBR,60,20211210,170000,1013.0000000
MOEX.SPBE:TQBR,60,20211210,180000,1007.2000000
MOEX.SPBE:TQBR,60,20211210,190000,1011.4000000
MOEX.SPBE:TQBR,60,20211210,200000,1015.4000000
MOEX.SPBE:TQBR,60,20211210,210000,1024.2000000
MOEX.SPBE:TQBR,60,20211210,220000,1022.8000000
MOEX.SPBE:TQBR,60,20211210,230000,1024.0000000
MOEX.SPBE:TQBR,60,20211211,000000,1021.9000000
MOEX.SPBE:TQBR,60,20211213,110000,1030.1000000
MOEX.SPBE:TQBR,60,20211213,120000,1032.3000000
MOEX.SPBE:TQBR,60,20211213,130000,1031.8000000
MOEX.SPBE:TQBR,60,20211213,140000,1030.0000000
MOEX.SPBE:TQBR,60,20211213,150000,1028.3000000
MOEX.SPBE:TQBR,60,20211213,160000,1024.4000000
MOEX.SPBE:TQBR,60,20211213,170000,1024.7000000
MOEX.SPBE:TQBR,60,20211213,180000,1029.2000000
MOEX.SPBE:TQBR,60,20211213,190000,1028.6000000
MOEX.SPBE:TQBR,60,20211213,200000,1030.1000000
MOEX.SPBE:TQBR,60,20211213,210000,1029.4000000
MOEX.SPBE:TQBR,60,20211213,220000,1028.0000000
MOEX.SPBE:TQBR,60,20211213,230000,1021.3000000
MOEX.SPBE:TQBR,60,20211214,000000,1032.0000000
MOEX.SPBE:TQBR,60,20211214,110000,1041.5000000
MOEX.SPBE:TQBR,60,20211214,120000,1037.0000000
MOEX.SPBE:TQBR,60,20211214,130000,1034.0000000
MOEX.SPBE:TQBR,60,20211214,140000,1026.4000000
MOEX.SPBE:TQBR,60,20211214,150000,1027.7000000
MOEX.SPBE:TQBR,60,20211214,160000,1027.0000000
MOEX.SPBE:TQBR,60,20211214,170000,1025.8000000
MOEX.SPBE:TQBR,60,20211214,180000,1023.9000000
MOEX.SPBE:TQBR,60,20211214,190000,1021.4000000
MOEX.SPBE:TQBR,60,20211214,200000,1023.2000000
MOEX.SPBE:TQBR,60,20211214,210000,1025.6000000
MOEX.SPBE:TQBR,60,20211214,220000,1026.7000000
MOEX.SPBE:TQBR,60,20211214,230000,1027.0000000
MOEX.SPBE:TQBR,60,20211215,000000,1025.0000000
MOEX.SPBE:TQBR,60,20211215,110000,1030.2000000
MOEX.SPBE:TQBR,60,20211215,120000,1029.9000000
MOEX.SPBE:TQBR,60,20211215,130000,1028.5000000
MOEX.SPBE:TQBR,60,20211215,140000,1027.3000000
MOEX.SPBE:TQBR,60,20211215,150000,1028.0000000
MOEX.SPBE:TQBR,60,20211215,160000,1025.1000000
MOEX.SPBE:TQBR,60,20211215,170000,1022.3000000
MOEX.SPBE:TQBR,60,20211215,180000,1023.9000000
MOEX.SPBE:TQBR,60,20211215,190000,1023.7000000
MOEX.SPBE:TQBR,60,20211215,200000,1027.5000000
MOEX.SPBE:TQBR,60,20211215,210000,1029.9000000
MOEX.SPBE:TQBR,60,20211215,220000,1029.2000000
MOEX.SPBE:TQBR,60,20211215,230000,1026.3000000
MOEX.SPBE:TQBR,60,20211216,000000,1026.1000000
MOEX.SPBE:TQBR,60,20211216,110000,1020.6000000
MOEX.SPBE:TQBR,60,20211216,120000,1015.7000000
MOEX.SPBE:TQBR,60,20211216,130000,1013.0000000
MOEX.SPBE:TQBR,60,20211216,140000,1012.9000000
MOEX.SPBE:TQBR,60,20211216,150000,1012.0000000
MOEX.SPBE:TQBR,60,20211216,160000,1011.8000000
MOEX.SPBE:TQBR,60,20211216,170000,1009.4000000
MOEX.SPBE:TQBR,60,20211216,180000,1013.5000000
MOEX.SPBE:TQBR,60,20211216,190000,1014.7000000
MOEX.SPBE:TQBR,60,20211216,200000,1015.1000000
MOEX.SPBE:TQBR,60,20211216,210000,1013.0000000
MOEX.SPBE:TQBR,60,20211216,220000,1015.8000000
MOEX.SPBE:TQBR,60,20211216,230000,1015.9000000
MOEX.SPBE:TQBR,60,20211217,000000,1018.9000000
MOEX.SPBE:TQBR,60,20211217,110000,1024.9000000
MOEX.SPBE:TQBR,60,20211217,120000,1021.0000000
MOEX.SPBE:TQBR,60,20211217,130000,1019.3000000
MOEX.SPBE:TQBR,60,20211217,140000,1024.3000000
MOEX.SPBE:TQBR,60,20211217,150000,1018.1000000
MOEX.SPBE:TQBR,60,20211217,160000,1021.1000000
MOEX.SPBE:TQBR,60,20211217,170000,1013.4000000
MOEX.SPBE:TQBR,60,20211217,180000,1014.2000000
MOEX.SPBE:TQBR,60,20211217,190000,1016.3000000
MOEX.SPBE:TQBR,60,20211217,200000,1019.0000000
MOEX.SPBE:TQBR,60,20211217,210000,1020.9000000
MOEX.SPBE:TQBR,60,20211217,220000,1019.2000000
MOEX.SPBE:TQBR,60,20211217,230000,1019.4000000
MOEX.SPBE:TQBR,60,20211218,000000,1018.3000000
MOEX.SPBE:TQBR,60,20211220,110000,1012.7000000
MOEX.SPBE:TQBR,60,20211220,120000,1008.8000000
MOEX.SPBE:TQBR,60,20211220,130000,1003.4000000
MOEX.SPBE:TQBR,60,20211220,140000,1003.1000000
